Date,Articles,Terms,Negativ,Positiv
24/02/2005,10,1559,3.014753047,4.682488775
25/02/2005,11,2124,2.071563089,4.237288136
26/02/2005,3,747,3.078982597,3.212851406
27/02/2005,3,969,4.024767802,5.779153767
28/02/2005,9,2438,3.445447088,5.086136177
01/03/2005,11,2742,3.829321663,4.449307075
02/03/2005,5,1226,4.323001631,3.670473083
03/03/2005,10,2051,3.754266212,4.09556314
04/03/2005,9,1646,3.341433779,5.285540705
05/03/2005,6,1455,2.886597938,5.567010309
06/03/2005,3,994,3.621730382,3.319919517
07/03/2005,7,1967,3.152008134,3.965429588
08/03/2005,7,1767,3.50877193,6.112054329
09/03/2005,10,2477,4.037141704,4.804198627
10/03/2005,10,1606,3.300124533,4.109589041
11/03/2005,7,1762,2.837684449,4.143019296
12/03/2005,5,1283,3.429462198,4.286827747
13/03/2005,2,677,2.511078287,8.271787297
14/03/2005,10,2766,4.049168474,5.061460593
15/03/2005,11,2761,3.585657371,4.418688881
16/03/2005,11,2067,3.047895501,4.305757136
17/03/2005,12,2123,3.10880829,4.239284032
18/03/2005,13,3266,3.306797306,4.807103491
19/03/2005,6,1481,3.578663065,4.253882512
20/03/2005,3,1022,4.109589041,4.109589041
21/03/2005,10,2698,3.965900667,4.670126019
22/03/2005,9,2246,3.873552983,4.274265361
23/03/2005,8,2008,3.685258964,4.233067729
24/03/2005,8,2161,3.516890329,4.951411384
26/03/2005,5,1216,3.371710526,5.674342105
28/03/2005,6,1712,2.336448598,5.081775701
29/03/2005,8,1989,1.960784314,5.379587733
30/03/2005,11,2739,2.66520628,4.855786783
31/03/2005,8,2034,3.588987217,4.277286136
01/04/2005,12,2727,3.813714705,3.483681702
02/04/2005,5,1198,3.25542571,4.590984975
03/04/2005,3,1046,2.963671128,4.30210325
04/04/2005,9,2536,2.878548896,4.534700315
05/04/2005,8,1985,3.173803526,5.591939547
06/04/2005,8,1324,3.096676737,5.060422961
07/04/2005,8,1618,3.646477132,3.831891224
08/04/2005,9,2205,3.900226757,3.673469388
09/04/2005,6,1476,3.25203252,4.403794038
10/04/2005,3,992,3.931451613,3.225806452
11/04/2005,8,2214,3.206865402,4.245709124
12/04/2005,7,1765,3.229461756,4.47592068
13/04/2005,7,1763,3.686897334,4.707884288
14/04/2005,8,1079,3.151065802,3.521779425
15/04/2005,10,1556,2.956298201,3.856041131
16/04/2005,4,991,3.834510595,4.23814329
17/04/2005,3,1010,3.267326733,4.257425743
18/04/2005,7,1862,3.383458647,4.672395274
19/04/2005,7,1698,3.121319199,4.946996466
20/04/2005,10,2454,3.137734311,4.849225754
21/04/2005,12,2864,3.177374302,6.145251397
22/04/2005,12,2668,2.586206897,5.134932534
23/04/2005,3,721,3.46740638,4.022191401
24/04/2005,3,1010,2.376237624,6.534653465
25/04/2005,7,1786,2.519596865,5.207166853
26/04/2005,10,2510,2.828685259,5.219123506
27/04/2005,12,2979,3.75965089,4.363880497
28/04/2005,10,2499,3.921568627,4.201680672
29/04/2005,13,3245,3.235747304,4.221879815
30/04/2005,7,1754,3.021664766,4.561003421
01/05/2005,3,1010,1.881188119,4.455445545
02/05/2005,6,2011,2.386872203,4.226752859
03/05/2005,10,2983,2.916526986,4.290982233
04/05/2005,9,2265,3.046357616,4.547461369
05/05/2005,8,1948,3.64476386,4.671457906
06/05/2005,9,1724,3.13225058,3.422273782
07/05/2005,4,971,2.98661174,4.222451081
08/05/2005,3,1001,2.397602398,4.595404595
09/05/2005,11,2989,2.576112412,5.018400803
10/05/2005,10,2488,3.45659164,5.064308682
12/05/2005,10,1734,3.114186851,3.863898501
13/05/2005,12,2096,2.719465649,3.959923664
14/05/2005,7,1756,3.132118451,4.157175399
15/05/2005,3,995,3.819095477,3.316582915
16/05/2005,8,2084,3.214971209,4.990403071
17/05/2005,7,1706,3.282532239,5.978898007
18/05/2005,8,2046,3.812316716,3.958944282
19/05/2005,8,1494,2.543507363,4.417670683
20/05/2005,11,2523,2.695204122,3.884264764
21/05/2005,6,1487,3.362474781,3.295225286
23/05/2005,8,2201,3.089504771,3.81644707
24/05/2005,8,2008,2.938247012,4.930278884
25/05/2005,8,2005,2.942643392,4.438902743
26/05/2005,10,2241,2.766622044,3.882195448
27/05/2005,10,1868,3.211991435,3.800856531
28/05/2005,5,1222,3.764320786,4.255319149
29/05/2005,3,1005,4.47761194,3.184079602
30/05/2005,4,1334,4.347826087,4.347826087
31/05/2005,9,2491,3.452428743,3.934162987
01/06/2005,5,1234,2.593192869,5.186385737
02/06/2005,11,2515,3.061630219,4.930417495
03/06/2005,9,1641,2.925045704,4.692260817
04/06/2005,4,966,3.726708075,4.451345756
06/06/2005,10,2828,3.925035361,4.27864215
07/06/2005,9,2209,4.074241738,4.61747397
08/06/2005,9,2178,3.902662994,5.004591368
09/06/2005,9,2161,3.979639056,5.552984729
10/06/2005,6,1460,3.493150685,5.205479452
11/06/2005,3,761,3.285151117,4.599211564
12/06/2005,1,357,4.761904762,2.521008403
13/06/2005,8,2164,3.327171904,4.15896488
14/06/2005,11,2753,2.833272793,3.777697058
15/06/2005,7,1704,2.464788732,3.755868545
16/06/2005,7,1197,2.506265664,3.675856307
17/06/2005,9,1869,2.889245586,4.654895666
18/06/2005,4,1028,2.918287938,4.085603113
19/06/2005,3,1026,4.580896686,4.093567251
20/06/2005,8,2229,4.21713773,4.665769403
21/06/2005,8,2004,2.944111776,5.389221557
22/06/2005,6,1479,3.245436105,5.814739689
23/06/2005,9,1918,3.180396246,5.057351408
24/06/2005,12,2706,3.362897265,4.65631929
25/06/2005,7,1742,3.329506315,4.707233065
26/06/2005,3,1016,3.051181102,4.232283465
27/06/2005,9,2376,3.493265993,3.61952862
28/06/2005,10,1520,4.342105263,4.473684211
29/06/2005,12,2911,3.916180007,4.809343868
30/06/2005,11,2957,3.077443355,4.294893473
01/07/2005,12,2991,3.577398863,4.513540622
02/07/2005,2,473,5.073995772,5.496828753
03/07/2005,3,1019,3.238469087,5.69185476
04/07/2005,7,1919,3.178738927,5.211047421
05/07/2005,7,1757,2.902675014,4.780876494
06/07/2005,8,1967,3.202846975,5.134722928
07/07/2005,5,1393,3.230437904,3.230437904
08/07/2005,11,2154,2.971216342,4.08542247
09/07/2005,6,1436,3.064066852,4.456824513
10/07/2005,2,705,2.695035461,5.24822695
11/07/2005,6,1813,2.923331495,5.515719801
12/07/2005,10,2425,3.87628866,4.371134021
13/07/2005,9,2215,3.069977427,4.875846501
14/07/2005,9,2076,2.312138728,4.672447013
15/07/2005,9,1739,2.932719954,4.600345026
16/07/2005,5,1218,2.463054187,4.679802956
17/07/2005,3,1032,2.713178295,3.391472868
18/07/2005,9,2527,2.809655718,4.036406806
19/07/2005,8,1948,2.72073922,5.082135524
20/07/2005,7,1672,2.811004785,4.545454545
21/07/2005,8,1810,3.425414365,4.640883978
22/07/2005,9,1557,3.147077714,4.431599229
23/07/2005,4,982,3.360488798,4.073319756
24/07/2005,2,665,4.360902256,7.218045113
25/07/2005,8,2195,3.507972665,4.692482916
26/07/2005,9,2246,3.250222618,4.496883348
27/07/2005,8,1740,3.275862069,4.540229885
28/07/2005,11,1661,2.82962071,3.913305238
29/07/2005,9,2020,4.108910891,3.465346535
30/07/2005,5,1159,3.710094909,3.882657463
31/07/2005,3,1036,3.378378378,4.247104247
01/08/2005,8,2169,3.088981097,4.011065007
02/08/2005,10,2520,3.412698413,4.761904762
03/08/2005,7,1549,3.873466753,3.873466753
04/08/2005,9,1714,3.675612602,3.617269545
05/08/2005,14,2578,3.607447634,4.848719938
06/08/2005,5,1234,3.241491086,5.10534846
07/08/2005,3,1002,2.295409182,3.393213573
08/08/2005,8,2175,3.402298851,3.908045977
09/08/2005,8,1921,4.008328995,5.153565851
10/08/2005,10,2466,3.203568532,4.501216545
11/08/2005,13,3207,2.899906455,4.334268787
12/08/2005,9,2243,2.719572002,3.923316986
13/08/2005,4,995,3.718592965,3.819095477
14/08/2005,3,974,3.388090349,5.749486653
15/08/2005,8,2221,2.746510581,5.898244034
16/08/2005,6,1456,2.60989011,4.601648352
17/08/2005,5,1234,3.322528363,4.943273906
18/08/2005,12,2983,2.514247402,4.592691921
19/08/2005,9,2263,3.093239063,3.977021653
20/08/2005,4,965,3.834196891,3.419689119
21/08/2005,3,996,3.413654618,4.819277108
22/08/2005,9,2451,3.50877193,5.263157895
23/08/2005,9,2197,2.958579882,5.461993628
24/08/2005,9,2224,2.068345324,5.035971223
25/08/2005,9,2262,3.183023873,4.641909814
26/08/2005,8,1443,3.118503119,5.336105336
27/08/2005,4,976,2.459016393,2.971311475
28/08/2005,3,1041,6.051873199,2.689721422
29/08/2005,8,2265,4.547461369,4.061810155
30/08/2005,8,1993,3.411941796,4.565980933
31/08/2005,10,2521,2.578341928,4.64101547
01/09/2005,10,2789,2.796701327,4.446038006
02/09/2005,13,2844,2.70745429,3.938115331
03/09/2005,5,1288,2.639751553,3.416149068
04/09/2005,3,1039,3.464870067,3.561116458
05/09/2005,8,2276,3.207381371,4.217926186
06/09/2005,12,2959,2.737411288,4.663737749
07/09/2005,11,2726,2.677916361,4.76889215
08/09/2005,11,2750,3.054545455,5.2
09/09/2005,5,838,3.937947494,5.250596659
10/09/2005,5,1193,4.86169321,4.945515507
11/09/2005,3,1011,3.758654797,3.758654797
12/09/2005,7,1823,3.346132748,4.443225453
13/09/2005,10,2110,2.985781991,4.265402844
14/09/2005,10,2509,3.029095257,5.021921084
15/09/2005,11,2756,3.301886792,4.3904209
16/09/2005,12,3086,3.110823072,4.147764096
17/09/2005,6,1555,2.636655949,4.24437299
18/09/2005,3,1027,3.11587147,4.186952288
19/09/2005,8,2192,3.467153285,4.562043796
20/09/2005,9,2195,4.145785877,3.325740319
21/09/2005,11,2730,4.175824176,4.908424908
22/09/2005,11,2378,3.532380151,4.709840202
23/09/2005,13,2912,3.983516484,4.258241758
24/09/2005,6,1503,3.326679973,4.923486361
25/09/2005,3,1005,2.786069652,5.174129353
26/09/2005,13,3680,2.907608696,5
27/09/2005,15,3846,3.302132085,4.758190328
28/09/2005,16,4097,2.928972419,4.100561386
29/09/2005,13,3730,2.707774799,3.699731903
30/09/2005,13,2545,2.632612967,4.479371316
01/10/2005,6,1463,2.665755297,4.374572796
02/10/2005,4,1547,3.296703297,5.042016807
03/10/2005,12,3465,2.886002886,4.935064935
04/10/2005,17,4390,2.824601367,4.601366743
05/10/2005,13,3310,2.930513595,4.712990937
06/10/2005,14,2687,2.902865649,4.317082248
07/10/2005,10,2093,3.631151457,4.108934544
08/10/2005,5,1258,2.861685215,4.610492846
09/10/2005,3,1089,2.662993572,5.142332415
10/10/2005,9,2703,2.663706992,4.99445061
11/10/2005,14,3862,2.589331952,4.505437597
12/10/2005,12,3160,2.753164557,3.955696203
13/10/2005,14,3075,2.829268293,4.74796748
14/10/2005,14,3637,3.051965906,4.97662909
15/10/2005,5,1267,2.446724546,4.340962904
16/10/2005,3,1050,3.523809524,6.666666667
17/10/2005,9,2607,3.145377829,5.293440736
18/10/2005,12,3210,2.679127726,4.392523364
19/10/2005,14,3871,3.048307931,4.443296306
20/10/2005,13,3869,3.153269579,3.773584906
21/10/2005,12,2898,2.7605245,4.278812974
22/10/2005,6,1519,2.50164582,4.476629361
23/10/2005,3,1036,4.247104247,3.957528958
24/10/2005,10,2831,4.026845638,3.99152243
25/10/2005,12,3121,3.780839475,3.780839475
26/10/2005,9,2339,3.078238563,4.318084652
27/10/2005,14,3064,2.937336815,4.471279373
28/10/2005,8,1621,2.961135102,4.565083282
29/10/2005,6,1493,3.01406564,4.152712659
30/10/2005,3,1349,2.965159377,4.447739066
31/10/2005,8,2203,2.76895143,5.129369042
01/11/2005,12,3065,2.479608483,4.535073409
02/11/2005,13,3332,2.821128451,3.81152461
03/11/2005,7,980,2.142857143,5.306122449
04/11/2005,11,2540,2.755905512,5.354330709
05/11/2005,3,761,2.759526938,4.730617608
06/11/2005,3,998,4.809619238,4.308617234
07/11/2005,10,2886,3.083853084,3.880803881
08/11/2005,15,4130,2.663438257,4.188861985
09/11/2005,12,3265,3.15467075,4.869831547
10/11/2005,14,2830,3.215547703,5.229681979
11/11/2005,11,2245,2.628062361,4.766146993
12/11/2005,5,1188,2.609427609,4.62962963
13/11/2005,1,364,4.945054945,1.923076923
14/11/2005,6,1587,2.709514808,5.103969754
15/11/2005,13,3365,2.852897474,4.368499257
16/11/2005,10,2623,3.354937095,4.003049943
17/11/2005,11,2901,2.895553257,4.446742503
18/11/2005,11,2941,2.75416525,4.318259096
19/11/2005,5,1200,2.666666667,4.25
20/11/2005,3,945,3.597883598,4.232804233
21/11/2005,11,2933,3.545857484,4.432321855
22/11/2005,13,3377,3.050044418,5.270950548
23/11/2005,13,3371,3.055473153,4.568377336
24/11/2005,12,3116,2.920410783,4.300385109
25/11/2005,10,2554,3.171495693,4.541895067
26/11/2005,5,1237,2.5869038,4.446240905
27/11/2005,3,1078,4.26716141,4.545454545
28/11/2005,10,2714,3.758290346,4.310980103
29/11/2005,13,3349,3.344281875,4.5088086
30/11/2005,13,3298,3.062462098,4.457246816
01/12/2005,12,3128,3.260869565,4.539641944
02/12/2005,11,2799,3.251161129,4.358699536
03/12/2005,6,1470,2.31292517,3.741496599
04/12/2005,2,616,3.733766234,5.519480519
05/12/2005,10,2711,3.282921431,3.873109554
06/12/2005,16,4103,3.217158177,4.411406288
07/12/2005,14,3636,2.805280528,5.390539054
08/12/2005,13,3614,3.2097399,5.118981738
09/12/2005,12,3307,2.81221651,4.747505292
10/12/2005,4,944,2.436440678,5.296610169
11/12/2005,3,895,2.346368715,4.804469274
12/12/2005,6,1808,3.152654867,4.53539823
13/12/2005,12,3258,2.885205648,4.143646409
14/12/2005,12,3356,2.622169249,4.350417163
15/12/2005,11,3394,2.828520919,4.714201532
16/12/2005,10,2817,3.194888179,4.33084842
17/12/2005,5,1207,3.231151616,4.805302403
18/12/2005,3,942,3.184713376,2.972399151
19/12/2005,6,1569,2.485659656,5.417463352
20/12/2005,9,2471,3.116147309,3.804127883
21/12/2005,3,741,2.968960864,2.159244265
22/12/2005,4,1888,2.80720339,6.56779661
23/12/2005,4,1927,3.373118838,6.590555267
24/12/2005,3,955,3.87434555,4.397905759
26/12/2005,1,990,3.535353535,3.131313131
27/12/2005,3,990,3.535353535,3.131313131
28/12/2005,4,1959,2.654415518,2.960694232
29/12/2005,6,1919,2.292860865,5.158936946
30/12/2005,3,1626,2.58302583,4.735547355
31/12/2005,3,984,2.540650407,3.861788618
03/01/2006,10,3112,3.37403599,4.305912596
04/01/2006,12,3886,3.113741637,5.223880597
05/01/2006,12,3607,2.522872193,4.40809537
06/01/2006,10,2753,3.051216854,3.341808936
07/01/2006,5,1183,3.465765004,3.803888419
08/01/2006,1,877,2.052451539,4.675028506
09/01/2006,7,2757,2.321363801,4.78781284
10/01/2006,10,3016,2.619363395,4.50928382
11/01/2006,13,3632,2.422907489,5.176211454
12/01/2006,12,3460,2.572254335,5.057803468
13/01/2006,10,2813,2.417348027,4.265908283
14/01/2006,4,937,3.308431163,3.521878335
15/01/2006,3,959,3.023983316,3.128258603
16/01/2006,6,1837,2.068590093,5.443658138
17/01/2006,10,2704,2.588757396,5.029585799
18/01/2006,9,2284,3.896672504,4.509632224
19/01/2006,9,2312,3.157439446,3.460207612
20/01/2006,12,3011,3.188309532,3.653271338
21/01/2006,6,1422,3.023909986,4.008438819
22/01/2006,3,977,1.944728762,4.912998976
23/01/2006,9,2431,2.797202797,4.607157548
24/01/2006,15,4236,2.880075543,5.099150142
25/01/2006,12,3384,3.043735225,5.082742317
26/01/2006,14,3676,2.502720348,4.51577802
27/01/2006,10,2542,2.675059009,4.248623131
28/01/2006,4,942,3.290870488,4.140127389
29/01/2006,3,925,1.945945946,5.189189189
30/01/2006,7,1864,2.789699571,4.881974249
31/01/2006,14,3614,3.37576093,4.676258993
01/02/2006,11,3020,2.947019868,3.675496689
02/02/2006,11,3111,2.989392478,3.567984571
03/02/2006,12,3025,3.801652893,4.363636364
04/02/2006,6,1448,4.005524862,4.488950276
05/02/2006,3,975,3.487179487,4.615384615
06/02/2006,9,2603,3.419131771,4.341144833
07/02/2006,10,2873,3.167420814,4.490080056
08/02/2006,10,3096,3.326873385,4.715762274
09/02/2006,11,3090,3.171521036,4.401294498
10/02/2006,11,2570,2.529182879,4.747081712
11/02/2006,4,955,2.408376963,4.816753927
12/02/2006,2,644,3.571428571,4.50310559
13/02/2006,7,2177,2.939825448,4.685346808
14/02/2006,9,2458,2.481692433,4.800650936
15/02/2006,10,2817,2.946396876,4.614838481
16/02/2006,11,3138,3.027405991,4.907584449
17/02/2006,12,3025,2.41322314,4.826446281
18/02/2006,8,1903,3.31056227,5.044666316
19/02/2006,3,950,3.894736842,3.894736842
20/02/2006,7,1797,3.394546466,4.841402337
21/02/2006,11,3106,3.122987766,4.346426272
22/02/2006,10,3029,3.070320238,3.862660944
23/02/2006,12,3716,2.987082885,4.413347686
24/02/2006,9,2375,2.357894737,4.715789474
25/02/2006,5,1227,3.2599837,6.030969845
27/02/2006,10,2797,2.681444405,5.362888809
28/02/2006,13,3348,2.718040621,5.13739546
01/03/2006,13,3625,2.924137931,4.468965517
02/03/2006,13,3667,3.10880829,4.390509954
03/03/2006,11,2712,2.728613569,4.867256637
04/03/2006,6,1477,3.249830738,5.551794177
05/03/2006,1,354,1.97740113,4.237288136
06/03/2006,7,2200,2.545454545,4.681818182
07/03/2006,12,3646,2.770159078,4.991771805
08/03/2006,10,3046,2.757715036,5.41694025
09/03/2006,10,3101,2.612060626,5.224121251
10/03/2006,10,2659,2.707784882,4.512974803
11/03/2006,6,1462,3.41997264,3.761969904
12/03/2006,3,892,2.69058296,3.69955157
13/03/2006,6,1877,2.876931273,4.954714971
14/03/2006,10,3082,2.595717067,5.191434134
15/03/2006,9,2540,2.440944882,4.724409449
16/03/2006,7,2187,2.743484225,4.023776863
17/03/2006,9,2612,3.292496172,4.287901991
18/03/2006,5,1229,3.824247356,4.556550041
19/03/2006,3,952,2.521008403,4.621848739
20/03/2006,7,2100,3.142857143,4.476190476
21/03/2006,13,3949,3.59584705,4.355533046
22/03/2006,12,3701,3.215347203,4.296136179
23/03/2006,9,2765,3.254972875,4.267631103
24/03/2006,10,2455,3.462321792,4.358452138
25/03/2006,5,1214,2.800658979,4.942339374
26/03/2006,3,945,3.386243386,3.915343915
27/03/2006,6,1848,2.813852814,4.761904762
28/03/2006,12,3576,2.936241611,5.089485459
29/03/2006,11,3445,2.989840348,4.296081277
30/03/2006,11,3454,3.358425014,4.863925883
31/03/2006,12,2635,3.111954459,5.123339658
01/04/2006,6,1389,2.735781138,4.535637149
02/04/2006,3,916,3.602620087,3.602620087
03/04/2006,6,1855,2.210242588,4.09703504
04/04/2006,11,3356,2.622169249,4.469606675
05/04/2006,9,2767,2.999638598,4.481387785
06/04/2006,8,2417,3.392635499,3.930492346
07/04/2006,11,3020,3.344370861,4.139072848
08/04/2006,4,958,3.235908142,3.862212944
09/04/2006,3,918,2.505446623,4.575163399
10/04/2006,7,2152,3.252788104,5.29739777
11/04/2006,10,3069,3.551645487,4.007820137
12/04/2006,9,2764,3.654124457,3.943560058
13/04/2006,5,1515,3.564356436,3.828382838
14/04/2006,4,949,3.582718651,4.320337197
15/04/2006,3,699,2.288984263,4.148783977
16/04/2006,3,973,3.802672148,4.830421377
17/04/2006,5,1470,2.108843537,5.102040816
18/04/2006,8,2449,2.164148632,4.654961209
19/04/2006,9,2773,3.137396322,4.868373603
20/04/2006,12,3612,3.073089701,4.595791805
21/04/2006,8,2112,2.462121212,4.450757576
22/04/2006,5,1194,2.512562814,4.103852596
23/04/2006,3,932,4.077253219,3.862660944
24/04/2006,8,2444,3.436988543,4.4599018
25/04/2006,14,3911,2.608028637,4.525696753
26/04/2006,12,3380,2.218934911,4.49704142
27/04/2006,15,4249,2.588844434,4.70698988
28/04/2006,10,2866,3.244940684,3.593859037
29/04/2006,5,1207,2.485501243,3.47970174
30/04/2006,3,968,3.202479339,4.132231405
01/05/2006,5,1523,3.282994091,3.545633618
02/05/2006,9,2765,3.037974684,3.942133816
03/05/2006,9,2815,2.735346359,4.760213144
04/05/2006,9,2783,2.623068631,4.707150557
05/05/2006,12,3332,3.00120048,4.411764706
06/05/2006,5,1212,2.475247525,4.455445545
07/05/2006,3,963,2.699896158,5.295950156
08/05/2006,7,2206,2.991840435,5.167724388
09/05/2006,12,3733,2.946691669,5.036163943
10/05/2006,11,3424,2.89135514,4.702102804
11/05/2006,12,3747,2.855617828,4.243394716
12/05/2006,11,3086,2.754374595,4.115359689
13/05/2006,6,1450,3.103448276,4.413793103
14/05/2006,3,983,2.848423194,4.679552391
15/05/2006,11,3460,3.843930636,4.248554913
16/05/2006,14,4143,3.668839006,3.789524499
17/05/2006,13,4042,3.290450272,3.983176645
18/05/2006,14,4352,3.423713235,4.113051471
19/05/2006,13,3669,2.998092123,3.924775143
20/05/2006,5,1203,4.073150457,4.073150457
21/05/2006,3,915,3.06010929,5.136612022
22/05/2006,9,2817,3.265885694,4.543840966
23/05/2006,11,3426,3.531815528,4.319906597
24/05/2006,10,3106,3.122987766,5.441081777
25/05/2006,11,3387,2.480070859,5.019191025
26/05/2006,9,2839,3.205353998,4.684748151
27/05/2006,3,974,4.620123203,4.722792608
28/05/2006,4,1299,3.387220939,5.311778291
29/05/2006,9,2755,3.520871143,5.045372051
30/05/2006,8,2529,3.044681692,4.586793199
31/05/2006,9,2797,2.645691813,4.397568824
01/06/2006,11,3419,2.895583504,3.919274642
02/06/2006,9,2471,3.237555645,4.28976123
03/06/2006,4,958,3.549060543,5.323590814
04/06/2006,3,988,2.024291498,5.263157895
05/06/2006,6,1848,3.246753247,3.463203463
06/06/2006,11,3356,3.098927294,3.903456496
07/06/2006,12,3709,3.424103532,4.259908331
08/06/2006,13,3963,3.709311128,4.466313399
09/06/2006,10,2719,3.604266274,4.155939684
10/06/2006,5,1225,3.183673469,4.489795918
11/06/2006,3,982,3.054989817,3.869653768
12/06/2006,7,2212,4.023508137,4.068716094
13/06/2006,10,3104,2.899484536,4.478092784
14/06/2006,11,3440,2.906976744,4.796511628
15/06/2006,10,3088,3.270725389,5.408031088
16/06/2006,13,3625,2.924137931,5.048275862
17/06/2006,5,1188,2.777777778,5.050505051
18/06/2006,2,642,1.869158879,6.386292835
19/06/2006,9,3198,2.626641651,4.377736085
20/06/2006,11,3466,2.683208309,4.327755338
21/06/2006,12,3781,2.750595081,4.549061095
22/06/2006,13,4060,2.906403941,4.064039409
23/06/2006,11,2963,2.564967938,3.61120486
24/06/2006,3,729,2.880658436,2.743484225
25/06/2006,4,1258,3.179650238,4.769475358
26/06/2006,9,2892,3.734439834,5.325034578
27/06/2006,9,2866,2.861130495,4.605722261
28/06/2006,9,2977,3.056768559,4.669129997
29/06/2006,9,2853,4.942166141,4.100946372
30/06/2006,10,2710,3.948339483,4.464944649
01/07/2006,1,234,2.136752137,2.991452991
02/07/2006,4,954,2.830188679,4.088050314
03/07/2006,5,1633,2.449479486,4.102878138
04/07/2006,8,2601,2.845059592,4.882737409
05/07/2006,9,2908,2.95735901,4.09215956
06/07/2006,13,4147,3.496503497,3.858210755
07/07/2006,8,2194,3.55515041,3.87420237
08/07/2006,4,954,2.935010482,4.612159329
09/07/2006,3,958,3.549060543,5.741127349
10/07/2006,7,2268,2.821869489,4.894179894
11/07/2006,10,3207,2.837542875,4.614904896
12/07/2006,10,3161,3.47991142,4.713698197
13/07/2006,10,3122,4.196028187,4.996796925
14/07/2006,9,2330,3.948497854,4.935622318
15/07/2006,3,725,3.724137931,3.448275862
16/07/2006,3,931,4.618689581,3.222341568
17/07/2006,5,1615,2.6625387,4.767801858
18/07/2006,10,3205,2.55850234,4.586583463
19/07/2006,9,2824,2.69121813,4.745042493
22/07/2006,4,981,2.242609582,5.606523955
23/07/2006,3,915,2.62295082,5.683060109
24/07/2006,6,1935,3.204134367,5.064599483
25/07/2006,9,2834,3.281580805,4.093154552
26/07/2006,9,2862,3.039832285,4.472396925
27/07/2006,11,4292,2.912395154,3.285181733
28/07/2006,13,3538,2.93951385,3.872244206
29/07/2006,5,1202,3.244592346,3.743760399
30/07/2006,2,652,3.220858896,3.220858896
31/07/2006,7,2151,2.882380288,3.812180381
01/08/2006,7,2213,2.666064166,4.789877994
02/08/2006,11,3483,2.81366638,4.880849842
03/08/2006,8,2344,3.071672355,4.30887372
04/08/2006,11,3160,3.35443038,4.303797468
05/08/2006,2,488,4.918032787,4.713114754
06/08/2006,3,927,4.207119741,5.285868393
07/08/2006,4,1319,3.563305534,4.094010614
08/08/2006,10,3300,3.060606061,4.787878788
09/08/2006,10,3195,3.255086072,4.75743349
10/08/2006,6,1997,3.204807211,4.456685028
11/08/2006,8,2500,3.32,4.6
12/08/2006,3,966,3.519668737,4.037267081
13/08/2006,3,914,2.297592998,5.142231947
14/08/2006,6,1902,2.260778128,2.786540484
15/08/2006,12,3849,2.494154326,3.429462198
16/08/2006,9,2888,3.358725762,3.670360111
17/08/2006,11,3565,3.085553997,4.46002805
18/08/2006,8,2256,2.925531915,4.476950355
19/08/2006,1,241,2.489626556,6.639004149
20/08/2006,3,939,2.129925453,2.768903088
